Ticker,Last Price,Market Cap (B),Shares Outstanding (B),Float (B),Sector,Industry,50D MA,200D MA,Avg Volume 10D (M),Avg Volume 3M (M),Shares Short (M),Earning Dates,Short Ratio,Short % Float,Price Targets Low,Price Targets Avg,Price Targets High,Last Updated,strong_buy,buy,hold,sell,strong_sell,Days to cover,Number of recommendations,% Price vs 50 Days Moving average,% Price vs 200 Days Moving average,% of sell,% of strong_sell,% of hold,% of buy,% of strong_buy,Low Below current Abs %,High above current Abs %
AACB,9.98,276196480,22175000,23449734,Financial Services,Shell Companies,9.938458,9.938458,198790,207812,1985,[1746648000],0.01,,,,,1746820801,,,,,,0.01,0.0,0.42%,0.42%,nan%,nan%,nan%,nan%,nan%,nan%,nan%
AACBU,10.17,256029744,25175000,23449734,Financial Services,Shell Companies,10.090477,10.090477,1320,20022,193,[1746648000],46.09,,,,,1746820800,,,,,,0.15,0.0,0.79%,0.79%,nan%,nan%,nan%,nan%,nan%,nan%,nan%
AAME,1.81,36928160,20402300,4038132,Financial Services,Insurance - Life,1.5112,1.57185,16400,11747,42026,"[1747047540, 1747396800]",2.42,0.010299999,,,,1746820800,,,,,,2.56,0.0,19.77%,15.15%,nan%,nan%,nan%,nan%,nan%,nan%,nan%
AAPG,24.31,2127613440,87066600,234403893,Healthcare,Biotechnology,21.09746,20.288553,15320,45872,19302,[1743073227],0.37,0.00029999999,27.0,28.0,29.0,1746820800,1.0,1.0,0.0,0.0,0.0,1.26,2.0,15.23%,19.82%,0.0%,0.0%,0.0%,50.0%,50.0%,11.07%,19.29%
AACG,0.965,30517642,31624500,18413639,Consumer Defensive,Education & Training Services,0.9384,0.85255,17200,38488,92232,[1747398600],4.92,0.0113,,,,1746820800,,,,,,5.36,0.0,2.83%,13.19%,nan%,nan%,nan%,nan%,nan%,nan%,nan%
AAOI,14.67,811572288,55321900,53119288,Technology,Communication Equipment,15.2792,20.502874,3509510,4455413,10676523,"[1754305140, 1754654400]",2.89,0.2016,13.0,30.8,50.0,1746820800,2.0,2.0,1.0,0.0,0.0,3.04,5.0,-3.99%,-28.45%,0.0%,0.0%,20.0%,40.0%,40.0%,-11.38%,240.83%
AAL,11.11,7327178240,659512000,653326115,Industrials,Airlines,10.8082,13.0247,61441520,62756865,73552177,"[1753277400, 1753709400]",1.0,0.11229999,8.0,13.21913,20.0,1746820800,3.0,10.0,10.0,0.0,1.0,1.2,24.0,2.79%,-14.7%,0.0%,4.17%,41.67%,41.67%,12.5%,-27.99%,80.02%
AAON,100.23,8155323904,81366096,67219008,Industrials,Building Products & Equipment,83.4196,104.4178,893730,969411,3261159,"[1753873140, 1754308800]",4.13,0.060599998,100.0,111.25,125.0,1746820801,1.0,2.0,3.0,0.0,0.0,3.65,6.0,20.15%,-4.01%,0.0%,0.0%,50.0%,33.33%,16.67%,-0.23%,24.71%
AAPL,198.53,2965204369408,14935799808,14911779320,Technology,Consumer Electronics,211.036,226.40524,56189980,60718445,108598767,"[1753873140, 1754308800]",1.43,0.0073,170.62,231.32024,300.0,1746820800,7.0,20.0,16.0,2.0,1.0,1.93,46.0,-5.93%,-12.31%,4.35%,2.17%,34.78%,43.48%,15.22%,-14.06%,51.11%
